,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
1,4366079981,235576,520,274715,16,14,104
0,4366079983,68399,173,64071,6,14,62
1,4366079983,79702,187,72961,14,6,70
0,4366079984,315612,621,347047,36,26,108
1,4366079984,314890,608,332920,26,36,104
0,4366079992,154597,330,153411,18,16,84
1,4366079992,143096,319,145101,16,18,84
0,4366079997,42797,114,36615,6,2,52
1,4366079997,41746,111,33365,2,6,48
0,4366099357,207083,410,198197,24,28,86
1,4366099357,200859,409,199633,28,24,90
0,4366099362,242786,500,258614,28,16,102
1,4366099362,237552,505,264863,16,28,98
0,4366099368,130090,293,130020,14,8,74
1,4366099368,123016,282,123197,8,14,78
0,4366099372,56159,149,52644,6,10,58
1,4366099372,60277,151,54592,10,6,58
0,4366099383,153209,327,147897,30,22,84
1,4366099383,149013,334,154476,22,30,84
0,4366099387,220613,440,216959,24,28,92
1,4366099387,244569,445,223745,28,24,92
0,4366099394,174093,363,172660,22,24,86
1,4366099394,170182,377,186763,24,22,92
0,4366099402,246705,499,260699,24,28,98
1,4366099402,247192,513,275560,28,24,100
0,4366099409,243096,468,238333,30,26,98
1,4366099409,213498,451,226053,26,30,94
0,4366099413,184684,377,181796,32,36,92
1,4366099413,187690,374,180216,36,32,90
0,4366099431,71807,180,66564,8,18,66
1,4366099431,74950,183,71279,18,8,68
0,4366099438,90308,183,69425,30,8,68
1,4366099438,68346,173,63817,8,30,60
0,4366099443,111746,261,115996,14,14,80
1,4366099443,111366,253,108236,14,14,78
0,4366099454,137595,327,148815,16,20,82
1,4366099454,151938,331,153799,20,16,84
0,4366099463,276754,601,326284,22,14,102
1,4366099463,277688,616,342405,14,22,106
0,4366099476,211152,467,238927,22,38,100
1,4366099476,259927,497,262347,38,22,102
0,4366099478,223976,425,211024,36,18,94
1,4366099478,189151,384,180950,18,36,86
0,4366099485,62499,162,56807,6,22,56
1,4366099485,89088,190,78039,22,6,70
0,4366099489,94399,228,93511,2,2,68
1,4366099489,93179,252,108216,2,2,76
0,4366099493,217474,443,216750,28,42,92
1,4366099493,230858,459,234633,42,28,92
0,4366099502,316890,569,309610,36,24,104
1,4366099502,261227,559,297287,24,36,104
0,4366099503,136002,294,130478,24,12,80
1,4366099503,127694,285,122551,12,24,76
0,4366099509,193461,411,200325,28,26,90
1,4366099509,216242,415,205123,26,28,90
0,4366099516,48138,115,37622,14,8,52
1,4366099516,49485,119,41018,8,14,56
0,4366099523,85240,198,75557,10,8,64
1,4366099523,87402,201,75935,8,10,64
0,4366099542,247887,473,241939,40,18,102
1,4366099542,202441,456,228361,18,40,94
0,4366099543,83971,202,79902,10,26,64
1,4366099543,101939,222,94214,26,10,74
0,4366099558,179567,410,199366,14,14,90
1,4366099558,180500,409,200158,14,14,96
0,4366099564,96497,256,109577,2,10,78
1,4366099564,111706,259,111922,10,2,78
0,4366099577,75616,178,67914,12,2,66
1,4366099577,62787,166,59169,2,12,58
0,4366099584,212672,417,205968,28,16,92
1,4366099584,179488,387,179325,16,28,84
0,4366099589,207373,425,216225,40,32,96
1,4366099589,201225,431,216754,32,40,96
0,4366099593,50679,116,37792,10,4,50
1,4366099593,42261,105,32494,4,10,50
0,4366099595,81925,207,83747,10,14,72
1,4366099595,92347,219,91004,14,10,68
0,4366099609,58102,147,51583,6,2,60
1,4366099609,54881,142,49730,2,6,56
0,4366099613,80661,213,83665,4,10,70
1,4366099613,88473,218,90512,10,4,70
0,4366099614,66195,168,61943,6,18,54
1,4366099614,80593,175,66562,18,6,62
0,4366099619,43417,110,33354,10,8,50
1,4366099619,51356,105,32099,8,10,50
0,4366099629,95091,246,103009,14,4,74
1,4366099629,97003,249,106613,4,14,70
0,4366099630,49009,115,38987,8,0,54
1,4366099630,40366,109,33541,0,8,48
0,4366099673,205665,481,243261,4,26,96
1,4366099673,252537,527,280638,26,4,102
0,4366099676,148288,325,148350,16,22,78
1,4366099676,146353,323,147336,22,16,82
0,4366099677,136017,329,154471,16,20,84
1,4366099677,137989,297,138535,20,16,72
0,4366099679,156657,363,169276,16,20,84
1,4366099679,160934,375,177598,20,16,86
0,4366099690,214612,465,236127,14,16,94
1,4366099690,203919,470,241504,16,14,96
0,4366099693,66110,171,63363,4,12,60
1,4366099693,76061,186,72144,12,4,66
0,4366099699,154215,330,152609,24,24,82
1,4366099699,144849,331,155921,24,24,88
0,4366099700,344124,608,345921,38,34,110
1,4366099700,347032,606,330332,34,38,102
0,4366099707,126462,276,119070,10,28,74
1,4366099707,147145,295,134542,28,10,84
0,4366099708,122886,276,118744,16,16,72
1,4366099708,124251,281,123752,16,16,78
0,4366099712,123580,287,126505,14,10,76
1,4366099712,116241,290,127208,10,14,76
0,4366099716,164602,379,185112,10,14,88
1,4366099716,159486,367,172824,14,10,86
0,4366099723,49437,120,39938,8,0,56
1,4366099723,40196,110,34727,0,8,52
0,4366099725,250114,501,257291,22,10,92
1,4366099725,198790,439,206778,10,22,88
0,4366099735,379744,699,392557,28,44,108
1,4366099735,411790,723,420657,44,28,114
0,4366099739,184433,411,203471,22,16,90
1,4366099739,196058,423,208169,16,22,88
0,4366099740,38392,88,27819,8,0,46
1,4366099740,33578,89,26592,0,8,48
0,4366099753,316315,632,355823,22,28,106
1,4366099753,306512,633,356398,28,22,108
0,4366099754,270463,562,300703,32,14,106
1,4366099754,277707,564,301748,14,32,100
0,4366099757,42198,110,33980,2,10,48
1,4366099757,48149,118,40563,10,2,56
0,4366099767,93676,209,84912,10,12,68
1,4366099767,92212,218,90015,12,10,72
0,4366099768,477971,866,540202,40,38,126
1,4366099768,486644,846,514345,38,40,120
0,4366099772,157400,369,173911,10,8,90
1,4366099772,160712,377,177883,8,10,84
0,4366099776,207973,455,227338,22,18,94
1,4366099776,218797,456,230085,18,22,92
0,4366099780,79500,181,70971,16,8,64
1,4366099780,67570,168,62925,8,16,62
0,4366099799,274122,604,328621,24,14,102
1,4366099799,279806,598,331088,14,24,108
0,4366099807,203169,414,203799,30,18,94
1,4366099807,181831,392,185041,18,30,86
0,4366099808,130735,301,135794,22,6,84
1,4366099808,110440,279,120849,6,22,76
0,4366099812,135497,305,132839,12,26,74
1,4366099812,157726,332,154513,26,12,84
0,4366099818,195958,421,208666,22,16,94
1,4366099818,187391,410,199299,16,22,90
0,4366099822,127274,296,133135,10,8,86
1,4366099822,105001,275,116420,8,10,74
0,4366099830,94445,246,103284,6,4,70
1,4366099830,95504,246,103211,4,6,72
0,4366099834,204812,412,199049,28,20,90
1,4366099834,195043,425,214438,20,28,92
0,4366099842,282361,619,343456,22,22,108
1,4366099842,322992,652,377959,22,22,112
0,4366099843,151481,349,159371,14,24,82
1,4366099843,169766,370,176006,24,14,88
0,4366099854,65979,170,63631,2,10,62
1,4366099854,75868,184,69023,10,2,66
0,4366099858,111875,280,120307,8,10,74
1,4366099858,116295,289,129768,10,8,80
0,4366099864,172846,376,181411,14,16,86
1,4366099864,167117,374,177257,16,14,88
0,4366099868,295645,621,327696,28,38,98
1,4366099868,333305,644,354766,38,28,102
0,4366099872,109815,254,106617,12,6,76
1,4366099872,97199,240,100159,6,12,72
0,4366099886,89419,212,85925,8,14,66
1,4366099886,87293,209,81493,14,8,70
0,4366099888,268392,492,265545,44,22,102
1,4366099888,216298,463,232538,22,44,94
0,4366099889,116904,276,118763,16,10,76
1,4366099889,115398,279,121061,10,16,74
0,4366099892,179570,366,172377,28,18,86
1,4366099892,154688,359,167221,18,28,82
0,4366099898,168497,377,181301,24,18,90
1,4366099898,179213,379,180400,18,24,84
0,4366099900,117266,283,125966,8,12,78
1,4366099900,126990,291,130350,12,8,80
0,4366099902,312833,543,298261,50,44,106
1,4366099902,275011,516,271250,44,50,100
0,4366099903,146137,292,132534,32,20,80
1,4366099903,128479,274,114799,20,32,78
0,4366099914,125625,302,138594,18,8,80
1,4366099914,111582,278,119424,8,18,76
0,4366099915,155225,324,152837,16,22,74
1,4366099915,171620,379,183703,22,16,88
0,4366099916,90752,213,85324,18,12,68
1,4366099916,82604,206,82020,12,18,66
0,4366099918,204249,427,212805,28,14,96
1,4366099918,191814,421,213300,14,28,94
0,4366099924,151611,365,169779,18,14,82
1,4366099924,169142,382,184156,14,18,88
0,4366099928,137867,333,152584,12,16,80
1,4366099928,145786,336,159264,16,12,84
0,4366099940,338262,664,372543,32,38,110
1,4366099940,350278,661,368198,38,32,112
0,4366099941,188904,375,180258,36,24,88
1,4366099941,162736,350,159715,24,36,84
0,4366099943,157719,329,151968,22,18,84
1,4366099943,146829,325,149335,18,22,80
0,4366099957,238856,493,262439,24,18,100
1,4366099957,214748,458,234332,18,24,94
0,4366099958,326341,666,376483,36,38,108
1,4366099958,384944,691,397498,38,36,108
0,4366099960,42052,108,33477,4,8,50
1,4366099960,49048,116,38740,8,4,52
0,4366099961,86149,221,89083,12,12,72
1,4366099961,93595,213,85155,12,12,70
0,4366099965,295240,568,311750,46,38,110
1,4366099965,298278,574,317915,38,46,106
0,4366099969,43212,115,36405,6,12,52
1,4366099969,50379,115,39848,12,6,54
0,4366099978,138747,327,147557,12,14,80
1,4366099978,136300,321,146051,14,12,80
0,4366099979,220813,482,250791,16,14,100
1,4366099979,206288,457,230663,14,16,94
0,4366099986,467585,923,573081,28,22,124
1,4366099986,488257,944,604590,22,28,128
0,4366099987,154025,321,148045,20,16,80
1,4366099987,141350,310,139853,16,20,78
0,4366099996,346681,720,411407,34,36,112
1,4366099996,361898,725,412991,36,34,112
0,4366099999,121223,287,124885,10,16,74
1,4366099999,122908,291,129416,16,10,80
0,4366100000,96122,219,90813,20,6,72
1,4366100000,81137,205,81254,6,20,66
0,4366108583,144725,297,133283,28,10,84
1,4366108583,120263,287,124987,10,28,78
0,4366108638,75100,167,62130,12,24,60
1,4366108638,89351,181,69446,24,12,66
0,4366108676,150731,323,146791,18,18,78
1,4366108676,144308,322,144723,18,18,82
0,4366108746,40289,114,36271,2,4,52
1,4366108746,47132,116,38103,4,2,54
0,4366108749,120691,287,127916,16,14,78
1,4366108749,119325,276,118330,14,16,74
0,4366108763,277874,495,255026,38,42,98
1,4366108763,294592,507,269174,42,38,102
0,4366108769,44878,111,34143,6,4,50
1,4366108769,45273,113,36078,4,6,50
0,4366108782,145631,334,155051,12,12,82
1,4366108782,139198,330,153432,12,12,84
0,4366108800,127465,293,132701,18,16,80
1,4366108800,122220,287,125764,16,18,74
0,4366108803,190631,401,190199,22,28,84
1,4366108803,213479,437,222478,28,22,94
0,4366108810,133898,318,143347,8,24,82
1,4366108810,171920,341,158024,24,8,86
0,4366108824,58535,146,52733,4,4,60
1,4366108824,56934,151,54327,4,4,60
0,4366108833,171960,325,149662,38,26,84
1,4366108833,150573,302,132771,26,38,76
0,4366108838,151743,310,145256,32,20,84
1,4366108838,121543,286,123670,20,32,78
0,4366108860,183483,420,207469,20,16,92
1,4366108860,185982,415,204085,16,20,90
0,4366108862,72213,182,69983,10,10,66
1,4366108862,76042,179,68579,10,10,64
0,4366108877,173516,411,200438,10,26,88
1,4366108877,200638,435,223373,26,10,98
0,4366108887,261487,521,281656,28,30,100
1,4366108887,264032,526,284383,30,28,104
0,4366108888,96554,216,87423,20,8,70
1,4366108888,80002,203,80981,8,20,66
0,4366108893,358702,643,367178,48,40,112
1,4366108893,336237,620,347709,40,48,110
0,4366108899,215591,434,218444,24,22,96
1,4366108899,198315,428,214916,22,24,96
0,4366108903,80442,215,87558,0,0,68
1,4366108903,83762,213,86507,0,0,70
0,4366108908,112024,255,111254,14,8,76
1,4366108908,101639,243,100315,8,14,70
0,4366108909,306889,593,326612,44,26,106
1,4366108909,267493,559,294458,26,44,98
0,4366108913,106764,256,110884,16,8,80
1,4366108913,104596,242,98633,8,16,70
0,4366108919,51773,143,49904,2,2,58
1,4366108919,55990,148,52366,2,2,60
0,4366108921,44785,112,34217,6,12,48
1,4366108921,48890,116,38707,12,6,52
0,4366108929,226332,463,233074,22,32,94
1,4366108929,228834,468,238738,32,22,94
0,4366108944,127549,270,114473,20,12,72
1,4366108944,122762,269,114372,12,20,70
0,4366108948,114649,279,116884,12,16,72
1,4366108948,123614,286,126277,16,12,78
0,4366108949,214200,456,226998,24,22,88
1,4366108949,237939,475,247220,22,24,98
0,4366108950,193963,364,171348,36,14,88
1,4366108950,156796,326,142951,14,36,80
0,4366108955,207644,472,243350,22,6,98
1,4366108955,179135,441,212535,6,22,88
0,4366108957,276373,509,265117,36,22,98
1,4366108957,247482,489,247120,22,36,92
0,4366108958,126580,234,94041,34,14,68
1,4366108958,108300,243,99983,14,34,70
0,4366108974,188011,467,238853,6,12,92
1,4366108974,186812,451,220549,12,6,90
0,4366108981,133720,295,132394,26,8,82
1,4366108981,115516,294,131369,8,26,78
0,4366108983,170830,378,184191,18,36,86
1,4366108983,187671,378,186029,36,18,92
0,4366108984,76971,196,74370,4,20,62
1,4366108984,100522,217,88818,20,4,70
0,4366108987,63016,151,53613,6,10,50
1,4366108987,78336,180,68327,10,6,66
0,4366109001,42692,108,32631,4,8,46
1,4366109001,46798,114,36814,8,4,52
0,4366109007,398790,737,431923,34,42,112
1,4366109007,400201,737,438210,42,34,118
0,4366109009,48671,118,39752,6,2,54
